REF_AREA,ACTIVITY,TIME_PERIOD,B1G,SAL,Produtividade_Trabalho,Prod_Projetada_Contrafactual,Choque_Estrutural_Percentual
AUS,G,2015,140491.0,2641.785,53.18033072335561,46.09391431052427,15.373865549998111
AUS,G,2016,144437.0,2672.306,54.049573664093856,57.61092873152302,-6.181735212125627
AUS,G,2017,146632.0,2631.394,55.724076288081534,69.12794315252177,-19.38994023714311
AUS,G,2018,150545.0,1676.614,89.79109085335087,80.64495757352051,11.341233915948457
AUS,G,2019,156535.0,1685.081,92.89464423371932,92.16197199451562,0.7949832488906461
AUS,G,2020,172071.0,1646.03,104.53697684732356,103.67898641551437,0.8275451578689363
AUS,G,2021,178921.0,1678.633,106.5873243287842,115.19600083651312,-7.473068895808632
AUS,G,2022,206694.0,1711.29,120.78256753677051,126.71301525751187,-4.680219872196423
AUS,G,2023,220846.0,1766.2,125.04019929792776,138.23002967851062,-9.541942811745896
AUS,G,2024,225383.0,1781.343,126.52420112241155,149.74704409950937,-15.50804766581293
AUS,G45,2015,7171.33051688528,445.869,16.083940612344165,15.949487826862196,0.8429912417345697
AUS,G45,2016,7908.98403398462,488.064,16.2048092749816,16.47371484594578,-1.6323311012655828
AUS,G45,2017,7927.19326958088,462.702,17.1323946505113,16.99794186502936,0.7909945012728681
AUS,G46,2015,66612.0,661.708,100.6667593560906,102.99463696608564,-2.2601930338970733
AUS,G46,2016,68865.0,618.373,111.36482349649806,106.70906827650651,4.363036146026
AUS,G46,2017,69726.0,645.04,108.09562197693168,110.42349958692648,-2.1081360568202867
AUS,G47,2015,73879.0,1534.208,48.154487527114966,47.80362152688167,0.7339736802911334
AUS,G47,2016,75572.0,1565.869,48.262019364327415,48.96375136479401,-1.43316633408761
AUS,G47,2017,76906.0,1523.653,50.47474720293925,50.12388120270589,0.6999976694031851
AUS,GTI,2015,264040.0,1333.596,197.99099577383257,196.47280633188348,0.7727224292732648
AUS,GTI,2016,271476.0,1343.854,202.01301629492488,200.9095681980598,0.5492262547582172
AUS,GTI,2017,277227.0,1376.451,201.4070969471489,205.34633006423428,-1.9183362643263036
AUS,GTI,2018,287498.0,1380.354,208.27845610618724,209.7830919304106,-0.7172340775311259
AUS,GTI,2019,286947.0,1322.08,217.04208519908025,214.2198537965869,1.317446236880171
AUS,GTI,2020,300557.0,1314.717,228.60965515772597,218.6566156627614,4.551904119066474
AUS,GTI,2021,320955.0,1304.379,246.05961917510172,223.0933775289377,10.294452439846635
AUS,GTI,2022,379130.0,1472.895,257.4046350893988,227.53013939511402,13.129906997686458
AUS,GTI,2023,403336.0,1434.936,281.082919377589,231.9669012612885,21.173718254302145
AUS,GTI,2024,417424.0,3333.761,125.21113541132672,236.40366312746482,-47.035027395571696
AUS,GTN,2015,797090.0,2391.893,333.2465122812768,332.535944141815,0.2136816040430256
AUS,GTN,2016,830892.0,2416.376,343.8587372163934,340.8960420260555,0.8690905217701106
AUS,GTN,2017,864436.0,2502.917,345.3714206264131,349.25613991029604,-1.1122837482200554
AUS,GTN,2018,899198.0,2542.583,353.6553182334657,357.6162377945366,-1.1075894051954527
AUS,GTN,2019,914425.0,2470.426,370.1487111939399,365.97633567877347,1.1400670230297782
AUS,GTN,2020,949782.0,2450.644,387.5642484179669,374.336433563014,3.5336701611028642
