REF_AREA,ACTIVITY,TIME_PERIOD,B1G,SAL,Produtividade_Trabalho
AUS,GTNXL,2024,116.64403298123813,5588.033,0.020873898379132356
AUS,GTU,2015,93.1687778628485,8352.553,0.011154526988676217
AUS,GTU,2016,94.00006361239625,8495.429,0.011064781262064134
AUS,GTU,2017,95.1867431821506,8675.035,0.010972490967719507
AUS,GTU,2018,96.64245418781536,8868.587,0.010897164811915964
AUS,GTU,2019,98.06137829016312,9167.782,0.010696303455968208
AUS,GTU,2020,100.0,8973.405999999999,0.011144040512599119
AUS,GTU,2021,102.5213168643487,9349.282,0.0109656887945351
AUS,GTU,2022,108.18263582938484,9872.415,0.010958072146418564
AUS,GTU,2023,114.45568074122691,10178.841,0.011244470833292997
AUS,GTU,2024,119.76595752592004,10460.872,0.011448945893413097
AUS,H,2015,80497.0,1040.121,77.39195728189316
AUS,H,2016,83479.0,1104.789,75.56103473151887
AUS,H,2017,85796.0,1029.563,83.3324429879473
AUS,H,2018,89595.0,563.88,158.89018940200043
AUS,H,2019,88880.0,571.071,155.6373900968531
AUS,H,2020,85907.0,546.052,157.32384461553113
AUS,H,2021,94985.0,570.62,166.45928989520172
AUS,H,2022,110380.0,610.339,180.85031433350971
AUS,H,2023,117780.0,627.335,187.74657878167167
AUS,H,2024,124821.0,642.964,194.1337306598814
AUS,H49,2015,31499.0,581.273,54.189683677032995
AUS,H49,2016,31621.0,607.975,52.01036226818537
AUS,H49,2017,32247.0,573.928,56.186490291465134
AUS,H50,2015,4544.0,10.112,449.36708860759495
AUS,H50,2016,4820.0,14.546,331.3625739034786
AUS,H50,2017,4847.0,15.767,307.4142195725249
AUS,H51,2015,9849.0,95.939,102.65898122765508
AUS,H51,2016,8967.0,100.216,89.47673026263271
AUS,H51,2017,9338.0,80.324,116.25417060903342
AUS,H52,2015,29444.0,202.005,145.75876834731815
AUS,H52,2016,32698.0,232.811,140.44869013921164
AUS,H52,2017,33467.0,214.698,155.87942132670076
AUS,H53,2015,5161.0,128.071,40.29795972546478
AUS,H53,2016,5373.0,110.895,48.45123765724334
AUS,H53,2017,5897.0,129.985,45.366773089202596
AUS,I,2015,43052.0,1061.011,40.57639364719122
AUS,I,2016,43560.0,1142.04,38.142271724282864
AUS,I,2017,44799.0,1138.387,39.353049534121524
AUS,I,2018,47358.0,830.096,57.05123262851526
AUS,I,2019,41532.0,855.64,48.53910523117199
AUS,I,2020,42579.0,741.283,57.43960133983917
AUS,I,2021,47049.0,798.411,58.928296328582654
AUS,I,2022,62056.0,874.439,70.96664261314969
AUS,I,2023,64710.0,883.745,73.22247933510232
AUS,I,2024,67220.0,909.454,73.91247935574532
AUS,J,2015,70895.0,135.295,524.0031043275806
AUS,J,2016,71532.0,139.538,512.6345511616906
AUS,J,2017,75193.0,143.494,524.0149413912777
AUS,J,2018,76021.0,146.262,519.7590625042732
AUS,J,2019,79187.0,141.802,558.4335904994288
AUS,J,2020,82515.0,152.985,539.3666045690753
AUS,J,2021,91558.0,144.244,634.7439061590084
AUS,J,2022,96681.0,150.991,640.3096873323575
AUS,J,2023,103287.0,148.016,697.8096962490542
AUS,J,2024,109235.341208814,495.303,220.54245827062223
AUS,J58,2015,7520.0,46.098,163.13072150635602
AUS,J58,2016,6715.0,56.374,119.11519494802567
AUS,J58,2017,6817.0,43.636,156.22421853515445
AUS,J58T60,2015,16152.0,135.468,119.23110993002038
AUS,J58T60,2016,15030.0,170.82,87.98735511064278
AUS,J58T60,2017,15128.0,165.996,91.13472613797923
AUS,J59_60,2015,8632.0,89.369,96.58830243149191
AUS,J59_60,2016,8315.0,114.446,72.65435227094001
