DATAFLOW,FREQ,REF_AREA,ACTIVITY,MEASURE,PRICE_BASE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,BASE_PER,UNIT_MULT,DECIMALS,EST_METHOD,OBS_STATUS
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,BTE,B1G,V,XDC,2016,173917.423,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,C,B1G,V,XDC,2016,148844.453,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,_T,B1G,V,XDC,2016,1109422.684,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,M_N,B1G,V,XDC,2016,122151.401,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,GTI,B1G,V,XDC,2016,177988.106,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,GTN,B1G,V,XDC,2016,601633.277,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,OTU,B1G,V,XDC,2016,253389.604,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,J,B1G,V,XDC,2016,86697.451,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,F,B1G,V,XDC,2016,62536.175,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,D_E,B1G,V,XDC,2016,17734.4399863493,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,OTQ,B1G,V,XDC,2016,220789.787,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,L,B1G,V,XDC,2016,156735.824,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,A,B1G,V,XDC,2016,17946.206,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,LTN,B1G,V,XDC,2016,278887.225,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,K,B1G,V,XDC,2016,58060.495,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,Q,B1G,V,XDC,2016,65170.7383048968,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,O,B1G,V,XDC,2016,84485.4931264006,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,P,B1G,V,XDC,2016,71133.5555687026,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ISR,RTU,B1G,V,XDC,2016,32599.817,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,JPN,C,B1G,V,XDC,2016,110440900.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,JPN,T,B1G,V,XDC,2016,0.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,JPN,C18,B1G,V,XDC,2016,2457500.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,JPN,C24_25,B1G,V,XDC,2016,15175900.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,JPN,A03,B1G,V,XDC,2016,823500.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,JPN,E,B1G,V,XDC,2016,8344700.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,JPN,C20_21,B1G,V,XDC,2016,11989400.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,JPN,A,B1G,V,XDC,2016,6124000.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,JPN,M_N,B1G,V,XDC,2016,43759600.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,JPN,C17,B1G,V,XDC,2016,2676200.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,JPN,C10T12,B1G,V,XDC,2016,13692200.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,JPN,RTU,B1G,V,XDC,2016,22172900.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,JPN,A01,B1G,V,XDC,2016,5061800.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,JPN,J,B1G,V,XDC,2016,27039600.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,JPN,Q,B1G,V,XDC,2016,41907700.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,JPN,D_E,B1G,V,XDC,2016,15764800.0,,6,1,,A
